cohort_id,user_count,percentage,dominant_PROFILE_TYPE,dominant_PROFILE_TYPE_percentage,dominant_Location_CITY,dominant_Location_CITY_percentage,dominant_Location_Region_user,dominant_Location_Region_user_percentage,dominant_Location_Country_user,dominant_Location_Country_user_percentage,dominant_Genre_user,dominant_Genre_user_percentage,dominant_Language_user,dominant_Language_user_percentage,dominant_Content_type_user,dominant_Content_type_user_percentage,dominant_Category_user,dominant_Category_user_percentage
0,19,0.025209,Adult,100.0,"Gharroli, Ghaziabad",10.5263,DL,21.0526,India,94.7368,"News, Drama, Entertainment,News,Infotainment,Culture, Entertainment,Educational,Infotainment, Kids & Family,Animation,Music,Edutainment,Kids",5.2632,Hindi,26.3158,Video,89.4737,"TV Channels, Movies, Shows",21.0526
1,9,0.011941,Adult,100.0,Dera Gopipur,22.2222,HP,33.3333,India,88.8889,"Music,Biography,Drama, Thriller,Drama",33.3333,NC,66.6667,Video,88.8889,Movies,66.6667
2,44,0.058379,Adult,100.0,Navi Mumbai (Reliance Corporate Park),100.0,MH,100.0,India,100.0,"Mystery,Thriller,Drama",47.7273,NC,100.0,Video,100.0,Movies,100.0
3,5,0.006634,Adult,100.0,Sri Ganganagar,20.0,RJ,40.0,India,100.0,"Music,Spiritual,Devotional",80.0,Hindi,100.0,NC,80.0,TV Channels,80.0
4,34,0.045111,Adult,100.0,Patna (Police Colony),97.0588,BR,100.0,India,100.0,"Entertainment,Movies",26.4706,Hindi,26.4706,Video,100.0,TV Channels,97.0588
5,50,0.06634,Adult,100.0,Navi Mumbai (Reliance Corporate Park),100.0,MH,100.0,India,100.0,"News, Educational,News,Infotainment",50.0,"Hindi, Marathi",20.0,Video,98.0,TV Channels,96.0
6,9,0.011941,Adult,88.8889,"Pināhat, Faridabad",11.1111,UP,55.5556,India,100.0,"News, Entertainment,Movies, Entertainment,Educational,Infotainment, Entertainment, Romance",11.1111,Hindi,66.6667,Video,100.0,"TV Channels, Movies",55.5556
7,3,0.00398,Adult,100.0,Beāwar,33.3333,GJ,66.6667,India,100.0,"Educational,Spiritual,Religious",33.3333,Hindi,100.0,Video,100.0,Documentaries,33.3333
8,20,0.026536,Adult,100.0,Dispur,5.0,AS,60.0,India,100.0,Patriotic,100.0,NC,100.0,Video,100.0,Shows,100.0
9,22,0.02919,Adult,100.0,"Patna (Police Colony), Baihar, Raipur, Chhindwāra, Simga, Indore",4.5455,"PB, BR",9.0909,India,95.4545,News,86.3636,Hindi,95.4545,Video,95.4545,TV Channels,95.4545
