User_id,Location_CITY,cohort
003d0d18-c90e-495e-b551-a6a5d9280145_7dc96b46-4675-4299-8fb5-3df5a5522724_Adult,"Gurugram, Defence Colony",573
00b1a309-ec55-4e0b-8187-0fb9ade0f96d_1b452da7-962a-4203-9423-0375b10f6d44_Adult,"Konnagar, Kolkata",1781
00b755e1-6248-4efb-b9d3-8eb3a1d4c187_0d98bb97-1853-496e-8c35-384a331281a6_Adult,Navsari,1893
00f89ddc-4784-4193-84cd-8a010a852f86_b378e26d-6711-438d-8497-851a0e87d7cd_Adult,Bareilly,18
01124aca-5a82-46f8-8869-1d0f8c554aae_aebaccec-5bb7-4ce2-8da0-c3dbf9fa694b_Adult,"Guntakal, Rasapūdipalem",2468
01137e7c-9417-4cb9-b649-01a81988b748_7b17995b-aa9a-4ed7-9d80-134ae1d32791_Adult,Dubai,183
0135a62c-2dc7-449c-9062-e632da23ae74_5453ea8a-1a0c-4dd4-933d-e47bfa560978_Adult,Patna (Police Colony),1
014e2bfc-7133-4652-bd80-46244c3d1aae_5a8ec15a-c52c-4f9e-b342-4101d53b5651_Adult,Navi Mumbai (Reliance Corporate Park),3
016d5ca6-9a15-47d3-b20f-90c5b8a12184_0d5f1c01-aafc-4278-9b97-58580a415ea3_Adult,Jalandhar,43
01D2BFB7-DDA2-4640-9938-031998F7502D_Guest_Guest,"Sūjāngarh, Jaipur, Navi Mumbai (Reliance Corporate Park)",409
020a59b5-4be0-40c4-b93a-17b8886e0df0_40f8679e-8132-46e9-8d7f-92cd97e57923_Adult,"Deoband, Mathura, Bareilly, Haldwani",2501
026f0662-8278-49c0-b3d0-ca1d46c25048_a6d8c705-0e2a-4efe-b049-8cf07f90d276_Child,Durg,25
02792b98-f738-4226-a968-4d0921484e96_933bd4fe-ecf5-4d5f-bd9a-8b38070023c4_Adult,Surat,22
0345201c-abcd-471a-8eca-bc197d86ccc8_5a32de85-8659-4131-81b0-ded4e05d58ea_Adult,"Etāwah, Navi Mumbai (Reliance Corporate Park)",1384
0356dbd9-df28-4870-b909-ac1fb390bf11_5a03bb3a-5b38-4a44-abde-4225697aff18_Adult,"Banga, Mukeriān, Pathankot, Rānia, Basi, Mohali, New Delhi, Ludhiana, Sirsa, Anandpur, Jhakal Mandi, Panipat",2351
038bac0a-8930-4c36-b2fc-3db4d03f9278_499fdd0c-0f1c-4e67-8eeb-cf5ac699aed5_Adult,Vadodara,171
