Type,ID,Name,Display Name,Workspace,Duration,Create Date,Account
Media Asset,3697626,9ee4e347-430a-4324-a191-c72cc289ce1d.mp4,9ee4e347-430a-4324-a191-c72cc289ce1d.mp4,PB-Archives-A,3511960000,2025-10-31T10:56:21Z,208
Media Asset,3697155,/FINAL CAPSULE SPML 2025.wav,/FINAL CAPSULE SPML 2025.wav,PB-Archives-A,,2025-10-31T11:14:12Z,208
Media Asset,3694871,RauliMandiriEp1,RauliMandiriEp1,DD Mumbai,1582880000,2025-10-31T12:59:55Z,208
Media Asset,3694870,SasuralJhunkiKa_Ep111,SasuralJhunkiKa_Ep111,DD Mumbai,1343000000,2025-10-31T12:33:21Z,208
Media Asset,3694858,FINAL CAPSULE SPML 2025,FINAL CAPSULE SPML 2025,PB-Archives-A,3511960295,2025-10-31T10:53:32Z,208
Media Asset,3694819,SasuralJhunkiKa_Ep109,SasuralJhunkiKa_Ep109,DD Mumbai,1350000000,2025-10-31T07:13:42Z,208
Media Asset,3693639,Shakthi E179,Shakthi E179,DD Podhigai (Chennai),1429013333,2025-10-31T09:25:37Z,208
Media Asset,3693638,Shakthi E178,Shakthi E178,DD Podhigai (Chennai),1451498667,2025-10-31T09:18:30Z,208
Media Asset,3693636,SasuralJhunkiKa_Ep110,SasuralJhunkiKa_Ep110,DD Mumbai,1350000000,2025-10-31T08:57:29Z,208
Media Asset,3693612,KBR_EP_104_S2_MIX_MASTER OTT,KBR_EP_104_S2_MIX_MASTER OTT,Sagar World,1551000000,2025-10-31T06:21:33Z,208
Media Asset,3693611,KBR_EP_103_S2_MIX_MASTER OTT,KBR_EP_103_S2_MIX_MASTER OTT,Sagar World,1464000000,2025-10-31T06:20:33Z,208
Media Asset,3693610,KBR_EP_102_S2_MIX_MASTER OTT,KBR_EP_102_S2_MIX_MASTER OTT,Sagar World,1550000000,2025-10-31T06:19:33Z,208
Media Asset,3693609,KBR_EP_101_S2_MIX_MASTER OTT,KBR_EP_101_S2_MIX_MASTER OTT,Sagar World,1504000000,2025-10-31T06:18:33Z,208
Media Asset,3691143,3010 DECODE SOCIAL FULL WAVES,3010 DECODE SOCIAL FULL WAVES,Decode,3178880000,2025-10-31T05:08:20Z,208
Media Asset,3691089,Episode-74 Purana Dost Part 02,Episode-74 Purana Dost Part 02,DD National,1626720000,2025-10-30T10:32:52Z,208
Media Asset,3691088,Episode-73 Purana Dost Part 01,Episode-73 Purana Dost Part 01,DD National,1498800000,2025-10-30T10:30:47Z,208
Media Asset,3691087,Episode-72 Screen Short Part 02,Episode-72 Screen Short Part 02,DD National,1528760000,2025-10-30T10:29:44Z,208
Media Asset,3691086,Episode-71 Screen Short Part 01,Episode-71 Screen Short Part 01,DD National,1469280000,2025-10-30T10:28:41Z,208
Media Asset,3691085,Episode-70 Data Scraping Part 02,Episode-70 Data Scraping Part 02,DD National,1497280000,2025-10-30T10:27:38Z,208
Media Asset,3691084,Episode-69 Data Scraping Part 01,Episode-69 Data Scraping Part 01,DD National,1648880000,2025-10-30T10:26:35Z,208
Media Asset,3691083,Episode-68 PENDRIVE TO FAKE WIFI PART-2,Episode-68 PENDRIVE TO FAKE WIFI PART-2,DD National,1612160000,2025-10-30T10:24:29Z,208
Media Asset,3691082,Episode-67 PENDRIVE TO FAKE WIFI PART-1,Episode-67 PENDRIVE TO FAKE WIFI PART-1,DD National,1653800000,2025-10-30T10:23:27Z,208
Media Asset,3691081,SasuralJhunkiKa_Ep107,SasuralJhunkiKa_Ep107,DD Mumbai,1380000000,2025-10-30T09:52:40Z,208
Media Asset,3689996,SasuralJhunkiKa_Ep108,SasuralJhunkiKa_Ep108,DD Mumbai,1346000000,2025-10-30T11:07:53Z,208
Media Asset,3685676,Episode-66 BREAK UP PART - 2,Episode-66 BREAK UP PART - 2,DD National,1695320000,2025-10-30T05:12:36Z,208
Media Asset,3685675,Episode-65 BREAK UP PART - 1,Episode-65 BREAK UP PART - 1,DD National,1612280000,2025-10-30T05:10:31Z,208
Media Asset,3685674,Episode-64 VIDEO CALL PART - 2,Episode-64 VIDEO CALL PART - 2,DD National,1373720000,2025-10-30T05:09:28Z,208
Media Asset,3685671,Episode-63 VIDEO CALL PART - 1,Episode-63 VIDEO CALL PART - 1,DD National,1539160000,2025-10-30T05:07:23Z,208
Media Asset,3685669,Episode-62 DEBIT CARD  PART -2,Episode-62 DEBIT CARD  PART -2,DD National,1560640000,2025-10-30T05:06:20Z,208
Media Asset,3685668,Episode-61 DEBIT CARD  PART -1,Episode-61 DEBIT CARD  PART -1,DD National,1440200000,2025-10-30T05:03:11Z,208
Media Asset,3685667,2910 DECODE SOCIAL FULL WAVES,2910 DECODE SOCIAL FULL WAVES,Decode,3329880000,2025-10-30T04:39:22Z,208
Media Asset,3685666,DoosariBaju_RamdasPadhyeRev,DoosariBaju_RamdasPadhyeRev,DD Mumbai,3237640000,2025-10-29T13:03:37Z,208
Media Asset,3685635,FAUJI02_EP_142_MASTER OTT,FAUJI02_EP_142_MASTER OTT,Fauji2.0,1307000000,2025-10-29T09:27:03Z,208
Media Asset,3685624,Shakthi E177,Shakthi E177,DD Podhigai (Chennai),1457962667,2025-10-29T07:28:37Z,208
Media Asset,3685623,Shakthi E176,Shakthi E176,DD Podhigai (Chennai),1388202667,2025-10-29T07:20:14Z,208
Media Asset,3685621,Episode-60 5CORPORATE POLITICS-PART -2,Episode-60 5CORPORATE POLITICS-PART -2,DD National,1747160000,2025-10-29T07:13:35Z,208
Media Asset,3685619,Shakthi E175,Shakthi E175,DD Podhigai (Chennai),1419200000,2025-10-29T07:11:46Z,208
Media Asset,3685618,Episode-59 5CORPORATE POLITICS-PART -1,Episode-59 5CORPORATE POLITICS-PART -1,DD National,1479240000,2025-10-29T07:11:25Z,208
Media Asset,3685617,SasuralJhunkiKa_Ep105,SasuralJhunkiKa_Ep105,DD Mumbai,1383000000,2025-10-29T07:10:47Z,208
Media Asset,3685616,Episode-58 CAFE DATE PART-2,Episode-58 CAFE DATE PART-2,DD National,1605360000,2025-10-29T07:10:20Z,208
Media Asset,3685615,Episode-57 CAFE DATE PART-1,Episode-57 CAFE DATE PART-1,DD National,1552720000,2025-10-29T07:08:17Z,208
Media Asset,3685614,Episode-56 WEB MEETING PART-2,Episode-56 WEB MEETING PART-2,DD National,1439800000,2025-10-29T07:07:11Z,208
Media Asset,3685613,Shakthi E174,Shakthi E174,DD Podhigai (Chennai),1414400000,2025-10-29T07:06:44Z,208
Media Asset,3685612,Episode-55 WEB MEETING PART-1,Episode-55 WEB MEETING PART-1,DD National,1547800000,2025-10-29T07:06:09Z,208
Media Asset,3685611,Episode-54 THE FOLLOWER_PART-2,Episode-54 THE FOLLOWER_PART-2,DD National,1758200000,2025-10-29T07:05:04Z,208
Media Asset,3685608,Episode-53 THE FOLLOWER P-1,Episode-53 THE FOLLOWER P-1,DD National,1761320000,2025-10-29T07:02:58Z,208
Media Asset,3685607,Episode-52 CREDIT CARD P-II,Episode-52 CREDIT CARD P-II,DD National,1669840000,2025-10-29T06:59:49Z,208
Media Asset,3685605,SasuralJhunkiKa_Ep104,SasuralJhunkiKa_Ep104,DD Mumbai,1349000000,2025-10-29T06:44:07Z,208
Media Asset,3683357,ZWR_S1_EP7 OTT,ZWR_S1_EP7 OTT,Zindagi Live,1068067000,2025-10-29T09:31:34Z,208
Media Asset,3683353,FAUJI02_EP_144_MASTER OTT,FAUJI02_EP_144_MASTER OTT,Fauji2.0,1317000000,2025-10-29T09:29:01Z,208
Media Asset,3683352,FAUJI02_EP_145_MASTER OTT,FAUJI02_EP_145_MASTER OTT,Fauji2.0,1324000000,2025-10-29T09:29:01Z,208
Media Asset,3683351,FAUJI02_EP_143_MASTER OTT,FAUJI02_EP_143_MASTER OTT,Fauji2.0,1354000000,2025-10-29T09:28:01Z,208
