id,user_id,video_id,channel_id,lang_id,duration,title,description,file_url,dash_url,hls_url,c_status,visibility,views_count,likes_count,dislikes_count,comments_count,vdc_id,content_id,categories_id,allow_comments,allow_subtitles,made_for_kids,status,smart_link_id,scheduled_at,is_deleted,created_at,modified_at,unpublished_at
34,117ac272-4790-415b-b4c5-5040a5b7aeb4,31e6e7f1-774a-4c24-9c70-38e21220d6d5,513e0606-e003-4fd1-86b4-9f684b6bbb7d,0,516,LEGENDS Akshay Kumar,"Some talent was there with me Slowly, my passion for acting developed, and I decided to pursue it as a career I wanted to hit the bulls-eye and showcase my abilities to become a star - Chiranjeevi
Theres a thin line between art house and commercial cinema Theyre closely intertwined Even art films have entertainment value, and entertainment has art in it -  Mohanlal",,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4583714/1761386588_2350548448130418/LEGENDS_AKSHAY_KUMAR.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4583714/1761386588_6346388230120839/LEGENDS_AKSHAY_KUMAR.m3u8,0,0,1,0,0,0,4583714_0_6268145131581797,4583714_1761386588_5552463695042169,0,0,0,0,0,,,0,2025-10-25 10:10:59,2025-11-14 12:57:32,
39,4f1b8041-ffd9-4fd7-9b0c-0f6cd6a0a2be,a11f8253-2186-4004-867d-28c71e5aa34c,70dcc16b-23ba-46db-8358-c5271027a892,5,4,ankurs video 2,added video 2,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4583785/1761389223_3957996041651937/Screen_Recording_2025-10-10_155843.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4583785/1761389223_9635889508965693/Screen_Recording_2025-10-10_155843.m3u8,0,0,10,3,0,0,4583785_0_7973956207827441,4583785_1761389223_2706901916294231,0,0,0,1,0,,,0,2025-10-25 10:47:15,2025-12-04 06:32:00,
40,fb8d6810-77e5-4906-89f1-cfb5cb60f705,8a9b221f-2a32-4eaa-8744-e4f76338b0ae,71adc472-1761-4d4a-98a4-08a4efdd372d,5,196,Devi ,,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4583788/1761389251_2562656404736965/Devi.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4583788/1761389251_8244287833191615/Devi.m3u8,0,0,75,1,0,0,4583788_0_8666454145465601,4583788_1761389251_3300793824445601,0,0,0,0,0,,,0,2025-10-25 10:50:21,2025-11-13 08:39:00,
41,117ac272-4790-415b-b4c5-5040a5b7aeb4,f9158962-10a0-4dac-a2a8-f7cbc5210311,513e0606-e003-4fd1-86b4-9f684b6bbb7d,0,1337,SHAMA EPI - 357,,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4583787/1761389245_9477923195886359/SHAMA_EPI_-_357.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4583787/1761389245_7415501152294729/SHAMA_EPI_-_357.m3u8,0,0,30,1,1,0,4583787_0_2706983110003311,4583787_1761389245_7084313524181389,0,0,0,0,0,,,0,2025-10-25 11:06:28,2025-12-03 12:03:00,
43,0708b4cd-5ae9-4794-8df8-69a2b3f4c06d,54f0a848-6607-4112-9137-a4eb70e35901,21649ee1-64db-4034-ab4d-e206fd2d1cfe,0,680,How to Deploy AWS EKS with Terraform - The Simplest Guide to Get Up and Running,In this video  I go over the quickest and simplest way of getting AWS Elastic Kubernetes Service EKS up and running using Terraform for deployment We go over the basic configuration options and end up with a fully functional working EKS cluster by the end of the video,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4583812/1761390829_9247012637647064/How_to_Deploy_AWS_EKS_with_Terraform_-_The_Simplest_Guide_to_Get_Up_and_Running.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4583812/1761390829_6264746852499974/How_to_Deploy_AWS_EKS_with_Terraform_-_The_Simplest_Guide_to_Get_Up_and_Running.m3u8,0,0,151,34,45,0,4583812_0_3340942641994392,4583832_1761392418_4049458955464418,0,0,0,0,0,,,0,2025-10-25 11:21:36,2025-12-04 13:04:00,
51,4f1b8041-ffd9-4fd7-9b0c-0f6cd6a0a2be,c6eca20d-4e11-4528-a618-7af5db4f0cc3,70dcc16b-23ba-46db-8358-c5271027a892,0,15,checkefasdfas,,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4583998/1761407489_9566108553935091/14364844_2160_3840_30fps.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4583998/1761407489_8852625880343479/14364844_2160_3840_30fps.m3u8,0,0,12,1,1,0,4583998_0_6679898987500436,4583998_1761407489_8062799003244375,0,0,0,0,0,,,0,2025-10-25 15:51:56,2025-11-18 07:50:00,
55,89dd4c98-4304-4631-9761-0ad062c60f4d,451f6bb1-bffc-442e-99cc-1f6ca0aad702,9ffe68f8-e65f-4c5c-b223-d66afa2ccbb3,5,121,Hellboy ,,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584132/1761463219_7601864760876365/Hellboy_trailer_hindi.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584132/1761463219_6205638267903118/Hellboy_trailer_hindi.m3u8,0,0,53,1,0,0,4584132_0_9869123840901938,4584132_1761463219_4486403698159887,6,0,0,0,0,,,0,2025-10-26 07:22:31,2025-11-27 09:27:00,
56,117ac272-4790-415b-b4c5-5040a5b7aeb4,6ad14702-909a-4c6b-9fa5-b1c6c231a735,513e0606-e003-4fd1-86b4-9f684b6bbb7d,5,1668,Kalam Ko Salam,"Witness the extraordinary journey of Dr APJ Abdul KalamIndias Missile Man and the Peoples Presidentin this powerful and deeply moving tribute From his modest roots in Rameswaram to the highest office in the nation, Kalam redefined leadership through humility, vision, and a lifelong dedication to science, education, and national progress A powerful tribute weaving rare footage and personal stories to honor Dr Kalam  the visionary who shaped India through science, education, and compassion",,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584149/1761465707_1652442485542001/Kalam_ko_Salam_Edited.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584149/1761465707_3253488642329703/Kalam_ko_Salam_Edited.m3u8,0,0,12,1,0,0,4584149_0_6193194975691874,4584149_1761465707_1352854210494406,6,0,0,0,0,,,0,2025-10-26 08:28:27,2025-12-02 07:20:00,
57,89dd4c98-4304-4631-9761-0ad062c60f4d,ff9a70b9-865b-44c3-897e-d99e033c2d35,9ffe68f8-e65f-4c5c-b223-d66afa2ccbb3,5,1508,Circus,,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584169/1761469277_8177532102045535/Circus-Epi-15.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584169/1761469277_2677066064198700/Circus-Epi-15.m3u8,0,0,4,0,0,0,4584169_0_4236506814674614,4584169_1761469277_9792680535606465,6,0,0,0,0,,,0,2025-10-26 09:29:17,2025-12-04 11:35:00,
59,a78eeba5-1ca6-418d-be3c-c656ebf25c14,7104c1d5-8138-400d-9d91-8a2a9cdc774e,ab007cb4-51a3-4994-8e83-402e338b39be,0,20,Parrat,Parrat,,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm/4584291/1761491597_3866428350244391/mixkit-macaw-parrot-feeding-on-a-branch-4669-hd-ready.mpd,https://d32o58k1tm1erd.cloudfront.net/file_library/videos/vod_drm_ios/4584291/1761491597_7325391571116696/mixkit-macaw-parrot-feeding-on-a-branch-4669-hd-ready.m3u8,0,0,16,1,0,0,4584291_0_7440908962246096,4584291_1761491597_3437928376844882,0,0,0,0,0,,,0,2025-10-26 15:13:48,2025-11-24 12:42:00,
